,video_ID,video_title,video_publishTime
0,hHGlDhJkDKI,Walmart vs Small Local Vendors: American Express Casestudy,2021-06-15
1,-_jOwk6GsXo,How to pick the next Stock Market GOLDMINE? (includes Green Energy Case Study),2021-07-13
2,YCngR6uSEVo,How to build Brand loyalty like Volvo?,2021-06-11
3,A1k62pSQ7so,This simple idea changed FMCG Market forever | CHIK Shampoo Case Study,2021-05-11
4,-NtB3rf8paE,Zomato’s SECRET Plan to Become Profitable: Zomato Hyperpure Business Case Study,2021-11-19
5,wzsYAuxhxSw,The smoothest Sales Pitch you will ever come accross: Amway Case Study,2020-11-05
6,h7xd2PqtglQ,How Adani got RICH after Palm Oil crisis ? : Edible Oil crisis Case study,2022-05-18
7,h9dlG5WfDfI,Why should I hire you? Complete framework to answer this question,2021-04-23
8,SGIKsejp7-0,How to KILL a MONOPOLY? : The fall of Gillette (Business STRATEGY Case Study),2021-11-09
9,5JKTbU6RnA0,How India can Become Rich by Adopting the Ireland Education Model?,2021-07-16
10,BiO2WRPBzSA,Why is India facing a power crisis despite having the 5th largest Coal reserves in the World?,2022-05-21
11,0wVAPXswE6E,How did Toyota beat FORD &amp; GM using its GENIUS Supply Chain Model?,2021-09-17
12,5vMbXNjgSjw,3 Self Help Books that changed my Life | My Book Recommendations,2021-01-10
13,cbTEAeteaI8,"How Pidilite&#39;s STRATEGY made it a GOLDMINE stock giving 14,000% returns? : Business Case Study",2022-02-18
14,X2f9IiflXaQ,"Content Marketing Lessons from Red Bull, FORD and Garyvee&#39;s book Crush it!",2021-05-14
15,o-gGiyY9s9w,How does Facebook kill its competition? Explained with examples,2021-01-09
16,eLT1To94V-Q,TATA vs Reliance Business War: How TATA NEU App&#39;s BUSINESS MODEL will change the game for TATAS?,2022-04-08
17,WWpSZY1RAAM,"How HAVELLS BUSINESS strategy made it a GOLDMINE stock with 70,000% returns : Case Study?",2022-03-22
18,RoD3kThcl6U,Decoding BIG Bull&#39;s Business STRATEGY to enter Indian Aviation Market : Akasa Airlines Case study,2021-08-20
19,X-CLMLrHcqU,How India is fighting China in the Solar wars : Geopolitics Case Study,2021-12-14
20,WnfqgKTz3fk,Why is the USA manipulating India &amp; the World about Russia-Ukraine war? : Geopolitical Case Study,2022-03-11
21,S5x54ZlNHX0,How MARICO&#39;s Saffola beat ITC &amp; Hindustan Unilever in EDIBLE OIL WAR in India?: Business Case study,2022-06-28
22,-d7f71CFACo,How Reliance is planning to KILL Amazon in INDIA? : The BIGGEST BUSINESS WAR IN INDIAN HISTORY,2021-09-07
23,8rulgRgwHYc,How is India&#39;s STRATEGY attracting Industries from China : Production incentive program explained,2020-12-25
24,jRRpGLy0TBg,How Mankind&#39;s GENIUS STRATEGY turned Preganews into a Market Leader?: Business Case study,2022-02-16
25,8tBuAM0XHmY,How KERALA&#39;s MARKETING STRATEGY changed Indian Tourism FOREVER? : Tourism Case Study,2021-11-26
26,pK887oMqxRY,How to get a game-changing startup idea? | The Art of Innovation,2021-01-18
27,vgV9HNuUxKY,How ABG Shipyard pulled off the BIGGEST Banking Fraud in Indian History? : Business Case Study,2022-02-25
28,-DE7KXOK_qU,How did a Woman born in India become the CEO of PEPSICO &amp; transformed it? : Women&#39;s Day Case Study,2022-03-08
29,8352JG8CCoE,How China is TRAPPING INDIA using Pakistan &amp; Sri Lanka? :Geopolitics Case study (China&#39;s Trade plan),2022-04-27
30,KNblG_-QOL0,What India can Learn from Singapore? (Part 2),2021-07-02
31,jp_CSPtSQWY,How did India&#39;s MTR Foods overcome all the economic downturns in the past 97 years &amp;make 1000Crores?,2021-05-25
32,vkrBQCQLQG0,"How Gaming became a $180,000,000,000 Industry? | Evolution of Gaming Part 1: Esports Case Study",2021-12-24
33,iQRe7OHtHXg,"How did scammers game the LARGEST STOCK EXCHANGE in India to make 50,000cr? : NSE Scam Explained",2022-03-18
34,kotO3sUv-xo,How TATA VOLTAS&#39; brilliant business STRATEGY made it the KING of Indian AC market? : Case study,2022-06-14
35,TqZRgHOlKmU,STOP making these 3 Interview Mistakes! (90% Candidates get rejected because of this),2021-04-09
36,JqSeQ3c4_qI,The story of the Spice King of India from a Tonga driver to a Millionaire,2020-12-05
37,yhpVAki47RI,How Airtel is Beating Jio? : Business Strategy case study,2021-08-13
38,fxjFr54LLOw,How did Domino&#39;s Pizza become so successful? Business Case Study,2021-06-04
39,tI9fRLNmNkY,How DELL KILLED the IBM MONOPOLY? : Dell vs IBM Case Study,2021-12-18
40,p2RCPyv95SE,How did Facebook become a $850 billion company?,2021-06-22
41,dVtnSPZn6BU,How LIC&#39;s Agents Changed India FOREVER turning it into a 22 Lakh Crore Company ? : LIC Case Study,2022-03-04
42,K7uvd1Muc80,This BUSINESS STRATEGY turned Wow Momo into a 1000Cr company? : Business strategy case study,2021-11-05
43,glHQPkrcf8A,IKEA :How to grow sales by 200% using Pricing STRATEGIES?: Business Case Study,2021-10-26
44,TCboTQr8Ecg,How did Nykaa BEAT Amazon &amp; Flipkart in e-Commerce War?  : Business case study,2021-11-02
45,er752AxyziE,How TATA STEEL became the GREATEST Company in INDIAN History? | Business Case Study  Ep2 Tata Series,2021-10-29
46,urLoa8PkQpU,How Tanishq HACKED the GOLD Market of India : Titan &amp; Tanishq (A TATA Product)  Business Case Study,2022-04-15
47,OEB_UviHDq0,Jamsetji TATA : STRATEGY of the GREATEST BUSINESS TYCOON of India,2021-09-28
48,lSF--3zgjKQ,How to use FEAR to boost your sales? (Ethically),2021-07-06
49,Z7P-t_yc8gE,How did Haldiram Build a 5000cr business empire? : Business case study,2021-10-09
50,vkrBQCQLQG0,"How Gaming became a $180,000,000,000 Industry? | Evolution of Gaming Part 1: Esports Case Study",2021-12-24
51,kotO3sUv-xo,How TATA VOLTAS&#39; brilliant business STRATEGY made it the KING of Indian AC market? : Case study,2022-06-14
52,JqSeQ3c4_qI,The story of the Spice King of India from a Tonga driver to a Millionaire,2020-12-05
53,8rulgRgwHYc,How is India&#39;s STRATEGY attracting Industries from China : Production incentive program explained,2020-12-25
54,yhpVAki47RI,How Airtel is Beating Jio? : Business Strategy case study,2021-08-13
55,fxjFr54LLOw,How did Domino&#39;s Pizza become so successful? Business Case Study,2021-06-04
56,tI9fRLNmNkY,How DELL KILLED the IBM MONOPOLY? : Dell vs IBM Case Study,2021-12-18
57,iQRe7OHtHXg,"How did scammers game the LARGEST STOCK EXCHANGE in India to make 50,000cr? : NSE Scam Explained",2022-03-18
58,8tBuAM0XHmY,How KERALA&#39;s MARKETING STRATEGY changed Indian Tourism FOREVER? : Tourism Case Study,2021-11-26
59,p2RCPyv95SE,How did Facebook become a $850 billion company?,2021-06-22
60,dVtnSPZn6BU,How LIC&#39;s Agents Changed India FOREVER turning it into a 22 Lakh Crore Company ? : LIC Case Study,2022-03-04
61,glHQPkrcf8A,IKEA :How to grow sales by 200% using Pricing STRATEGIES?: Business Case Study,2021-10-26
62,er752AxyziE,How TATA STEEL became the GREATEST Company in INDIAN History? | Business Case Study  Ep2 Tata Series,2021-10-29
63,urLoa8PkQpU,How Tanishq HACKED the GOLD Market of India : Titan &amp; Tanishq (A TATA Product)  Business Case Study,2022-04-15
64,K7uvd1Muc80,This BUSINESS STRATEGY turned Wow Momo into a 1000Cr company? : Business strategy case study,2021-11-05
65,lSF--3zgjKQ,How to use FEAR to boost your sales? (Ethically),2021-07-06
66,Z7P-t_yc8gE,How did Haldiram Build a 5000cr business empire? : Business case study,2021-10-09
67,OEB_UviHDq0,Jamsetji TATA : STRATEGY of the GREATEST BUSINESS TYCOON of India,2021-09-28
68,UL9dWIy2WZs,How Coca-Cola sold sugared water for over 100 years? | Marketing Casestudy,2020-10-11
69,B_AY4a3_-GQ,How India&#39;s MASTERSTROKE with Rupay is killing VISA and is changing India? : Business Case Study,2022-02-22
70,TCboTQr8Ecg,How did Nykaa BEAT Amazon &amp; Flipkart in e-Commerce War?  : Business case study,2021-11-02
71,H3Z7bFXfMAU,How China SECRETLY Killed Sri Lanka ? : Understanding China&#39;s Master plan Ep 1/3 Case Study,2022-04-12
72,JkIxbnhMrTw,How did the INTERNET MAFIA kill Mozilla? : Business case study Mozilla vs Microsoft/Google,2022-03-29
73,WCJQ2PhzEOM,This is how Jeff Bezos&#39; Amazon beat their competition legitimately,2020-09-30
74,ODBJz87boBQ,Dhirubhai Ambani vs Bear Cartel | Stock Market Concepts EXPLAINED,2020-11-18
75,t8v1aWCZYTE,How to earn money as a Freelancer in 2021 : A step-by-step Guide,2021-03-19
76,cQotN8sAhSM,Indian Government&#39;s MASTERPLAN to take control of the SEMICONDUCTOR CRISIS by beating China,2022-01-04
77,iLY_5DMndWY,How did IPL&#39;s GENIUS Business Model make it a MONEY MACHINE FOR India? : IPL Business case study,2022-04-01
78,NM-WadrQqWE,How to end poverty in India : Cardano Case study from Ethiopia,2021-07-23
79,7QOLDRY_Uk4,How INDIGO AIRLINES became a MONOPOLY in Indian Aviation business : Monopoly series EP 3,2021-12-21
80,jGT6ob8hV6M,How Asian Paints Built MONOPOLY in the Indian market? : Indian Monopolies EP 1,2021-12-07
81,Wlgk8XXHWuA,How was BSNL KILLED (strategically) by the Powerful people of India? : BSNL Tragedy Case Study,2022-04-23
82,6GWm2OyekXY,Don&#39;t Hustle!  DO THIS instead!,2020-09-16
83,FPj5gTT4j_A,EXPLAINED: How fall of a currency value affects a country? : Using Case study of China and Nigeria,2022-06-03
84,IxIi1xTx8zc,Zuckerberg is watching? How to safeguard your data from Facebook?,2021-01-13
85,t-VpFrqd0W0,How METAVERSE will CHANGE your LIFE? : Business Case Study + a Special Clip Attached,2022-01-18
86,PZEQnCaGxgw,How Andaman and Nicobar&#39;s Military STRATEGY is making India UNBEATABLE? : Geopolitics Case study,2022-05-31
87,fnO6UfeplxE,"How to Handle Criticism, Hate and Disrespect?",2021-04-30
88,_VdKPmtzuqs,How BANGLADESH became a SUPER FAST growing Asian Economy? : Bangladesh Growth case study,2022-05-10
89,sBBMRBVvVis,"Can India&#39;s ONDC KILL Amazon, Flipkart &amp; Zomato? : ONDC Business Case Study",2022-05-24
90,kXvwHAeWYqs,Dream 11 : Exposed | Business Case Study,2022-04-05
91,ULhoofZmZmg,How China&#39;s most successful businessman Jack Ma&#39;s Alibaba beat the US giant eBay?,2020-09-05
92,B5txS_lC1yY,How Dmart&#39;s BUSINESS STRATEGY made Radhakishan Damani the Retail King of India?: Business Case study,2021-10-01
93,YvA5RFhmLNA,How Airbnb used Recession to become a 131 Billion Dollar Company?,2021-07-27
94,odiaekxLY0g,How Bajaj&#39;s GENIUS strategy made Bajaj Finance a GOLD MINE STOCK for investors?: Business case study,2022-01-07
